,word1,word2,freq
808,공기,발화,3045
809,가연성,기와,3043
810,가연성,보호,3041
811,가스,장비,3041
812,가연성,기계,3039
813,가연성,분쇄기,3037
814,가연성,건조기,3037
815,가스,보호,3032
816,가연성,상승,3032
817,고체,피해,3032
818,가연성,파괴,3030
819,초기,화재,3028
820,밀폐,방출,3026
821,가연성,위력,3025
822,나무,폭발,3025
823,가스,형태,3024
824,가연성,폭발력,3023
825,분말,설비,3023
826,공장,분말,3023
827,가스,난류,3021
828,고체,밀폐,3020
829,공기,초기,3019
830,가연성,건물,3018
831,공기,통풍,3015
832,가스,배기가스,3014
833,가스,처리,3014
834,가스,방사,3012
835,가스,결합,3010
836,고체,장소,3010
837,공기,장소,3009
838,가스,작업,3008
839,가스,기와,3008
840,가연성,마이크론,3007
841,가열,출시,3007
842,가스,건조기,3007
843,가스,분쇄기,3007
844,가스,접지,3007
845,밀폐,연소,3006
846,가연성,충격파,3004
847,가연성,속도,3004
848,가연성,차로,3004
849,밀폐,압력,3000
850,가연성,주요,2997
851,가연성,유기,2995
852,가연성,독성,2993
853,가연성,농도,2992
854,가스,속도,2991
855,가동,가연성,2988
856,발화,증기,2986
857,손상,화재,2981
858,고체,혼합물,2976
859,가연성,연쇄반응,2975
860,방출,연소,2974
861,공기,손상,2973
862,추가,피해,2972
863,중합반응,폭발,2972
864,가동,가스,2970
865,고체,스파크,2962
866,가스,유기,2962
867,공기,축적,2961
868,손상,피해,2959
869,밀폐,불꽃,2958
870,가연성,고온,2954
871,장소,피해,2954
872,피해,혼합물,2953
873,고체,추가,2953
874,불꽃,피해,2952
875,공장,성질,2951
876,설비,성질,2951
877,설비,표면,2950
878,고체,불꽃,2948
879,스파크,피해,2945
880,구조,설비,2945
881,파열,화재,2942
882,밀폐,추가,2942
883,가연성,입자,2941
884,밀폐,손상,2941
885,공장,표면,2938
886,밀폐,피해,2938
887,발화,형성,2938
888,가연성,확산,2938
889,미스트,폭발,2936
890,가열,하수,2935
891,공장,구조,2933
892,가연성,하의,2932
893,고체,손상,2931
894,고체,통풍,2931
895,밀폐,장소,2930
896,가스,고온,2930
897,증기,하수,2928
898,공기,마이크론,2925
899,초기,피해,2925
900,통풍,피해,2924
901,마이크론,화재,2922
902,가스,최소,2921
903,공기,상승,2921
904,공기,추가,2920
905,가스,상한,2916
906,가연성,상한,2915
907,가연성,최소,2915
908,가연성,작업,2914
909,추가,화재,2914
910,가스,가열,2903
911,밀폐,초기,2901
912,가열,발화,2899
913,손상,혼합물,2897
